Date,Open,Close,Volume (BTC)
2016-01-01,430.89,433.82,3788.11117403
2016-01-02,434.87,433.55,2972.06344935
2016-01-03,433.2,431.04,4571.09703841
2016-01-04,431.54,434.17,5717.59545799
2016-01-05,433.31,432.43,3881.72086195
2016-01-06,432.45,429.56,5507.61422624
2016-01-07,429.99,457.0,16833.4191567
2016-01-08,456.87,452.7,10258.9945852
2016-01-09,452.02,448.84,4396.0450009
2016-01-10,448.84,448.79,4078.61065365
2016-01-11,448.2,448.0,7986.45843125
2016-01-12,448.0,434.85,6930.89654863
2016-01-13,434.78,432.64,10067.0210455
2016-01-14,432.64,429.55,4420.91215989
2016-01-15,429.55,360.0,37326.7014145
2016-01-16,360.62,386.91,25019.2519932
2016-01-17,387.8,380.16,8416.94363509
2016-01-18,379.94,385.49,7015.52993583
2016-01-19,385.47,376.76,7223.00324232
2016-01-20,376.9,416.32,25172.9174195
2016-01-21,418.9,409.59,9414.55707194
2016-01-22,409.42,382.55,14744.757763
2016-01-23,382.85,386.4,7664.89092787
2016-01-24,386.37,402.16,5448.8452132
2016-01-25,402.16,390.9,8040.83085608
2016-01-26,390.1,391.77,6589.15355022
2016-01-27,391.77,394.95,4262.62933663
2016-01-28,394.62,379.75,11414.0454985
2016-01-29,379.55,378.22,13544.14542
2016-01-30,378.12,375.64,2587.10717327
2016-01-31,376.38,368.49,4166.66582034
2016-02-01,368.49,371.81,7255.13421769
2016-02-02,371.79,373.05,5719.11332356
2016-02-03,373.05,368.38,7107.78660836
2016-02-04,368.4,387.82,13446.479683
2016-02-05,388.0,385.0,7372.61395629
2016-02-06,384.97,375.39,5735.69706556
2016-02-07,375.39,375.0,2885.48241846
2016-02-08,375.0,370.91,6943.10816682
2016-02-09,370.95,373.2,5779.6801008
2016-02-10,373.69,379.66,10006.6332925
2016-02-11,379.34,377.98,7471.96039009
2016-02-12,377.98,383.27,5996.09236146
2016-02-13,383.0,390.99,7324.96634134
2016-02-14,390.99,405.0,9758.39271132
2016-02-15,405.5,399.28,7906.69773619
2016-02-16,399.5,407.51,8354.83032093
2016-02-17,407.51,415.54,11842.7778287
2016-02-18,415.59,421.18,8588.92668864
